TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
121.7031028,1.22E-11,2.54E-05,1.05E-11,2.70E-05,120.2272649,1.11E-11,1.48E-11,1.44E-11,2.46E-11
122.6707289,1.19E-11,2.66E-05,1.09E-11,2.76E-05,121.2080839,1.03E-11,1.63E-11,1.47E-11,2.49E-11
123.6458471,1.16E-11,2.72E-05,1.06E-11,2.86E-05,122.1797593,1.04E-11,1.59E-11,1.36E-11,2.37E-11
124.6076896,1.14E-11,2.70E-05,1.01E-11,2.76E-05,123.1322124,1.07E-11,1.68E-11,1.41E-11,2.37E-11
125.5798044,1.06E-11,2.69E-05,1.03E-11,2.67E-05,124.0942705,1.10E-11,1.54E-11,1.45E-11,2.42E-11
126.5569975,1.08E-11,2.91E-05,9.57E-12,2.72E-05,125.0370288,1.11E-11,1.59E-11,1.47E-11,2.47E-11
127.5383961,1.07E-11,2.69E-05,1.07E-11,2.74E-05,126.0201464,1.05E-11,1.52E-11,1.44E-11,2.52E-11
128.5355985,1.02E-11,2.67E-05,1.03E-11,2.72E-05,126.9831398,1.09E-11,1.85E-11,1.39E-11,2.49E-11
129.5066745,1.02E-11,2.64E-05,9.75E-12,2.67E-05,127.9456017,1.13E-11,1.72E-11,1.43E-11,2.52E-11
130.4946499,1.03E-11,2.65E-05,9.66E-12,2.63E-05,128.9165368,1.13E-11,1.56E-11,1.39E-11,2.50E-11
131.4607301,1.07E-11,2.87E-05,1.05E-11,2.85E-05,129.8897364,1.08E-11,1.56E-11,1.41E-11,2.50E-11
132.4427214,1.08E-11,2.95E-05,1.07E-11,2.78E-05,130.8813608,1.08E-11,1.59E-11,1.49E-11,2.50E-11
133.4197249,1.16E-11,2.71E-05,1.03E-11,2.79E-05,131.8237445,1.07E-11,1.69E-11,1.40E-11,2.49E-11
134.3898592,1.15E-11,2.65E-05,1.10E-11,2.82E-05,132.814924,1.07E-11,1.81E-11,1.39E-11,2.49E-11
135.3577538,1.11E-11,2.66E-05,1.05E-11,2.81E-05,133.7865469,1.09E-11,1.63E-11,1.42E-11,2.47E-11
136.3362696,9.48E-12,2.54E-05,1.02E-11,2.70E-05,134.7596345,1.15E-11,1.51E-11,1.40E-11,2.44E-11
137.3118041,1.01E-11,2.51E-05,1.07E-11,2.71E-05,135.7316403,1.04E-11,1.47E-11,1.53E-11,2.37E-11
138.2694557,1.06E-11,2.51E-05,1.15E-11,2.68E-05,136.7020645,1.07E-11,1.64E-11,1.46E-11,2.40E-11
139.2413216,1.12E-11,2.62E-05,1.06E-11,2.77E-05,137.6540139,1.10E-11,1.83E-11,1.48E-11,2.53E-11
140.2092881,1.01E-11,2.51E-05,1.07E-11,2.73E-05,138.6267977,1.15E-11,1.66E-11,1.49E-11,2.54E-11
141.1594493,9.99E-12,2.58E-05,1.07E-11,2.72E-05,139.5876904,1.17E-11,1.52E-11,1.50E-11,2.34E-11
142.1270053,9.74E-12,2.76E-05,1.08E-11,2.82E-05,140.5708938,1.16E-11,1.49E-11,1.47E-11,2.39E-11
143.135251,1.05E-11,2.77E-05,1.03E-11,2.69E-05,141.5530703,1.20E-11,1.64E-11,1.45E-11,2.44E-11
144.1030257,1.09E-11,2.74E-05,1.04E-11,2.72E-05,142.4952126,1.16E-11,1.56E-11,1.47E-11,2.52E-11
145.0934527,1.08E-11,2.60E-05,1.04E-11,2.75E-05,143.4872227,1.16E-11,1.37E-11,1.46E-11,2.46E-11
146.0542605,1.04E-11,2.63E-05,1.07E-11,2.73E-05,144.4606318,1.16E-11,1.38E-11,1.55E-11,2.47E-11
147.000777,1.05E-11,2.79E-05,1.07E-11,2.68E-05,145.4331481,1.16E-11,1.46E-11,1.53E-11,2.41E-11
147.9586086,9.91E-12,2.62E-05,1.08E-11,2.71E-05,146.3940101,1.13E-11,1.54E-11,1.38E-11,2.43E-11
148.9503641,1.02E-11,2.63E-05,1.04E-11,2.74E-05,147.375155,1.03E-11,1.56E-11,1.32E-11,2.31E-11
149.9270864,1.05E-11,2.61E-05,1.04E-11,2.72E-05,148.3261006,1.10E-11,1.59E-11,1.38E-11,2.35E-11
150.8787873,1.09E-11,2.52E-05,1.11E-11,2.68E-05,149.2884579,1.16E-11,1.62E-11,1.37E-11,2.35E-11
151.8861353,1.07E-11,2.73E-05,1.10E-11,2.72E-05,150.2458012,1.13E-11,1.64E-11,1.40E-11,2.42E-11
